时间,带宽(bps)
2016-09-19T00:35:00+08:00,1068799480
2016-09-19T00:40:00+08:00,1099841159
2016-09-19T00:45:00+08:00,1018800733
2016-09-19T00:50:00+08:00,983746387
2016-09-19T00:55:00+08:00,959819017
2016-09-19T01:00:00+08:00,875944558
2016-09-19T01:05:00+08:00,819891228
2016-09-19T01:10:00+08:00,762851974
2016-09-19T01:15:00+08:00,742395164
2016-09-19T01:20:00+08:00,748369633
2016-09-19T01:25:00+08:00,640302173
2016-09-19T01:30:00+08:00,689422236
2016-09-19T01:35:00+08:00,624177164
2016-09-19T01:40:00+08:00,598655447
2016-09-19T01:45:00+08:00,530199709
2016-09-19T01:50:00+08:00,497637046
2016-09-19T01:55:00+08:00,538525309
2016-09-19T02:00:00+08:00,480024993
2016-09-19T02:05:00+08:00,563646211
2016-09-19T02:10:00+08:00,504912166
2016-09-19T02:15:00+08:00,469641694
2016-09-19T02:20:00+08:00,478261870
2016-09-19T02:25:00+08:00,441253392
2016-09-19T02:30:00+08:00,387323734
2016-09-19T02:35:00+08:00,397191791
2016-09-19T02:40:00+08:00,420219737
2016-09-19T02:45:00+08:00,360093457
2016-09-19T02:50:00+08:00,362045886
2016-09-19T02:55:00+08:00,386823226
2016-09-19T03:00:00+08:00,387505979
2016-09-19T03:05:00+08:00,366065372
2016-09-19T03:10:00+08:00,307749586
2016-09-19T03:15:00+08:00,276378073
2016-09-19T03:20:00+08:00,305825375
2016-09-19T03:25:00+08:00,276603193
2016-09-19T03:30:00+08:00,296391455
2016-09-19T03:35:00+08:00,276477510
2016-09-19T03:40:00+08:00,290990037
2016-09-19T03:45:00+08:00,268503232
2016-09-19T03:50:00+08:00,259457034
2016-09-19T03:55:00+08:00,228767220
2016-09-19T04:00:00+08:00,233178656
2016-09-19T04:05:00+08:00,276357913
2016-09-19T04:10:00+08:00,308928797
2016-09-19T04:15:00+08:00,230034581
2016-09-19T04:20:00+08:00,228795320
2016-09-19T04:25:00+08:00,220829526
2016-09-19T04:30:00+08:00,224729503
2016-09-19T04:35:00+08:00,220936716
2016-09-19T04:40:00+08:00,188490100
2016-09-19T04:45:00+08:00,202845661
2016-09-19T04:50:00+08:00,212798822
2016-09-19T04:55:00+08:00,221380281
2016-09-19T05:00:00+08:00,250391837
2016-09-19T05:05:00+08:00,215792888
2016-09-19T05:10:00+08:00,218369678
2016-09-19T05:15:00+08:00,190056098
2016-09-19T05:20:00+08:00,191131779
2016-09-19T05:25:00+08:00,180829494
2016-09-19T05:30:00+08:00,238536179
2016-09-19T05:35:00+08:00,258378809
2016-09-19T05:40:00+08:00,233980845
2016-09-19T05:45:00+08:00,243204070
2016-09-19T05:50:00+08:00,259522328
2016-09-19T05:55:00+08:00,265308265
2016-09-19T06:00:00+08:00,268549562
2016-09-19T06:05:00+08:00,274729568
2016-09-19T06:10:00+08:00,291854859
2016-09-19T06:15:00+08:00,307826614
2016-09-19T06:20:00+08:00,302808356
2016-09-19T06:25:00+08:00,288907197
2016-09-19T06:30:00+08:00,257791856
2016-09-19T06:35:00+08:00,280873940
2016-09-19T06:40:00+08:00,296672449
2016-09-19T06:45:00+08:00,312154981
2016-09-19T06:50:00+08:00,342363565
2016-09-19T06:55:00+08:00,314891685
2016-09-19T07:00:00+08:00,330516483
2016-09-19T07:05:00+08:00,383864386
2016-09-19T07:10:00+08:00,334245123
2016-09-19T07:15:00+08:00,323138962
2016-09-19T07:20:00+08:00,382697583
2016-09-19T07:25:00+08:00,403219748
2016-09-19T07:30:00+08:00,377972826
2016-09-19T07:35:00+08:00,395074389
2016-09-19T07:40:00+08:00,368926411
2016-09-19T07:45:00+08:00,382960529
2016-09-19T07:50:00+08:00,357254542
2016-09-19T07:55:00+08:00,388948416
2016-09-19T08:00:00+08:00,431312766
2016-09-19T08:05:00+08:00,404310027
2016-09-19T08:10:00+08:00,368607660
2016-09-19T08:15:00+08:00,422710315
2016-09-19T08:20:00+08:00,420149322
2016-09-19T08:25:00+08:00,449396041
2016-09-19T08:30:00+08:00,401184151
2016-09-19T08:35:00+08:00,407588503
2016-09-19T08:40:00+08:00,529634868
2016-09-19T08:45:00+08:00,469774550
2016-09-19T08:50:00+08:00,476706306
2016-09-19T08:55:00+08:00,508950557
2016-09-19T09:00:00+08:00,495606272
2016-09-19T09:05:00+08:00,509435146
2016-09-19T09:10:00+08:00,505955874
2016-09-19T09:15:00+08:00,506504986
2016-09-19T09:20:00+08:00,495879655
2016-09-19T09:25:00+08:00,494113680
2016-09-19T09:30:00+08:00,541554377
2016-09-19T09:35:00+08:00,573577085
2016-09-19T09:40:00+08:00,547498473
2016-09-19T09:45:00+08:00,536878472
2016-09-19T09:50:00+08:00,555003337
2016-09-19T09:55:00+08:00,571224912
2016-09-19T10:00:00+08:00,597368445
2016-09-19T10:05:00+08:00,608719560
2016-09-19T10:10:00+08:00,620978815
2016-09-19T10:15:00+08:00,609980800
2016-09-19T10:20:00+08:00,655399761
2016-09-19T10:25:00+08:00,596944426
2016-09-19T10:30:00+08:00,637508844
2016-09-19T10:35:00+08:00,636202361
2016-09-19T10:40:00+08:00,583043260
2016-09-19T10:45:00+08:00,591512672
2016-09-19T10:50:00+08:00,579998067
2016-09-19T10:55:00+08:00,620049020
2016-09-19T11:00:00+08:00,665938163
2016-09-19T11:05:00+08:00,654610441
2016-09-19T11:10:00+08:00,619168782
2016-09-19T11:15:00+08:00,690260655
2016-09-19T11:20:00+08:00,692608072
2016-09-19T11:25:00+08:00,639574088
2016-09-19T11:30:00+08:00,614236696
2016-09-19T11:35:00+08:00,679473917
2016-09-19T11:40:00+08:00,659326386
2016-09-19T11:45:00+08:00,748725565
2016-09-19T11:50:00+08:00,714438403
2016-09-19T11:55:00+08:00,736434728
2016-09-19T12:00:00+08:00,747199961
2016-09-19T12:05:00+08:00,814099362
2016-09-19T12:10:00+08:00,822865501
2016-09-19T12:15:00+08:00,765854931
2016-09-19T12:20:00+08:00,846705221
2016-09-19T12:25:00+08:00,793736154
2016-09-19T12:30:00+08:00,862809426
2016-09-19T12:35:00+08:00,875758964
2016-09-19T12:40:00+08:00,902240593
2016-09-19T12:45:00+08:00,879522885
2016-09-19T12:50:00+08:00,904520649
2016-09-19T12:55:00+08:00,909231915
2016-09-19T13:00:00+08:00,882595781
2016-09-19T13:05:00+08:00,933701114
2016-09-19T13:10:00+08:00,922394606
2016-09-19T13:15:00+08:00,892570220
2016-09-19T13:20:00+08:00,882486411
2016-09-19T13:25:00+08:00,871780346
2016-09-19T13:30:00+08:00,855601672
2016-09-19T13:35:00+08:00,906424498
2016-09-19T13:40:00+08:00,881664635
2016-09-19T13:45:00+08:00,985063357
2016-09-19T13:50:00+08:00,937987263
2016-09-19T13:55:00+08:00,926763353
2016-09-19T14:00:00+08:00,899310196
2016-09-19T14:05:00+08:00,916864159
2016-09-19T14:10:00+08:00,923045018
2016-09-19T14:15:00+08:00,908451921
2016-09-19T14:20:00+08:00,871256764
2016-09-19T14:25:00+08:00,920454855
2016-09-19T14:30:00+08:00,881421502
2016-09-19T14:35:00+08:00,900932778
2016-09-19T14:40:00+08:00,868136603
2016-09-19T14:45:00+08:00,781065599
2016-09-19T14:50:00+08:00,785242928
2016-09-19T14:55:00+08:00,888649134
2016-09-19T15:00:00+08:00,827986785
2016-09-19T15:05:00+08:00,832619882
2016-09-19T15:10:00+08:00,905222787
2016-09-19T15:15:00+08:00,874099336
2016-09-19T15:20:00+08:00,853060901
2016-09-19T15:25:00+08:00,834522113
2016-09-19T15:30:00+08:00,937212510
2016-09-19T15:35:00+08:00,907325501
2016-09-19T15:40:00+08:00,853428422
2016-09-19T15:45:00+08:00,813655349
2016-09-19T15:50:00+08:00,795437152
2016-09-19T15:55:00+08:00,890379745
2016-09-19T16:00:00+08:00,908571032
2016-09-19T16:05:00+08:00,838209415
2016-09-19T16:10:00+08:00,821618998
2016-09-19T16:15:00+08:00,849855656
2016-09-19T16:20:00+08:00,916162851
2016-09-19T16:25:00+08:00,840523833
